"codigo","UF","municipio","indice_envelhecimento","prop_idosos","prop_menores_5_anos","razao_dependencia","razao_sexos","prop_nascidos_vivos_sem_pre_natal","prop_partos_cesarios","tx_natalidade","tx_mortalidade","tme_ap_circulatorio","tme_ap_digestivo","tme_ap_respiratorio","tme_causas_externas","tme_cerebrovasculares","tme_diabetes_melitus","tme_isquemicas_coracao","tme_neonatal_precoce","tme_neoplasias","equipes_saude","gasto_saude_per_capta","internacoes_hospitalares","leitos_sus","valor_medio_internacao","cobertura_BCG","cobertura_covid","cobertura_febreamarela","cobertura_hepatiteA","cobertura_hepatiteB","cobertura_meningococicaC","cobertura_pneumo","cobertura_polio","cobertura_rotavirus","cobertura_tetravalente","cobertura_tripliceviral","cobertura_varicela","tx_abandonovacina","ti_acidentes_animais_peconhentos","ti_dengue","ti_intoxicacao_exogena","ti_oncologia","ti_violencia_autoprovocada","prop_votos_bolsonaro","prop_votos_lula"
"292895","BA","São Domingos",89.04,20.3417991929741,5.03204367434132,60.4341203351104,96.55,3.19148936170213,60.6382978723404,11.1678745396222,10.2174171319948,498.990139004396,225.733634311512,201.972199120827,118.807175953428,178.210763930141,261.375787097541,118.807175953428,21.2765957446809,498.990139004396,130.68789354877,76.8901271236783,4.90673636687656,59.8788166805275,1567.03,145.71,63.3717476535583,114.29,80,131.43,114.29,131.43,128.57,134.29,32.86,122.86,117.14,3.31858407079646,534.632291790424,71.2843055720566,11.8807175953428,249.495069502198,106.926458358085,0.263524457402008,0.736475542597992
"292900","BA","São Félix",58.85,16.6152729911119,5.57772537638309,54.252937884723,91.39,0.813008130081301,58.5365853658537,11.2369815457701,8.2221816188562,767.403617759912,0,392.837566234241,91.3575735428467,191.850904439978,246.665448565686,63.9503014799927,32.520325203252,392.837566234241,118.764845605701,99.4212607345149,8.06687374383336,104.421706559474,1226.91,144.52,80.3124429015165,64.52,73.55,81.94,85.16,83.87,81.29,82.58,2.58,81.29,70.97,22.9390681003584,118.764845605701,0,45.6787867714234,173.579389731409,18.2715147085693,0.165118031140131,0.834881968859869
"292905","BA","São Félix do Coribe",43.17,14.0252731341319,6.87113334210873,56.9790267589627,99.66,0.423728813559322,70.3389830508475,15.0280183392766,6.81355068772287,445.746306673459,108.25267447784,197.401935812532,95.5170657157412,44.5746306673459,108.25267447784,171.930718288334,8.47457627118644,184.666327050433,89.1492613346918,54.3512436321956,6.94090677534386,16.8110035659705,783.06,124.4,80.1642893530311,84,72,91.2,94,96.4,91.2,92.8,1.6,73.2,72,20.3007518796992,114.620478858889,165.562913907285,0,63.6780438104941,70.0458481915436,0.356151615575808,0.643848384424192
"292910","BA","São Felipe",67.11,16.9353645910368,5.51693536459104,53.4846765039728,95.33,1.14942528735632,60.3448275862069,8.57734398107069,6.95060632948832,685.201616878635,108.449176772158,128.167208912551,49.295080350981,285.91146603569,241.545893719807,73.9426205264715,17.2413793103448,359.854086562161,73.9426205264715,83.4039672680666,6.80272108843537,10.6477373558119,1226.04,83.96,87.4593315587104,66.04,82.08,80.19,77.36,80.66,80.19,72.64,10.85,85.38,76.42,18.4062850729517,88.7311446317658,14.7885241052943,0,221.827861579414,19.7180321403924,0.231675294470703,0.768324705529297
"292920","BA","São Francisco do Conde",34.24,11.5044019311698,6.55513386517956,49.577138443715,88.68,7.4245939675174,44.0835266821346,11.3744325979098,6.28100918399662,548.928533727436,139.871212920933,285.020584820015,68.6160667159295,200.57004116964,174.179246278898,95.0068616066716,6.96055684454756,158.344769344453,84.4505436503748,81.2023751715402,5.41011295260213,11.0313522643302,1500.2,75.13,130.257046342236,44.58,53.82,47.96,44.76,51.15,50.27,48.67,15.63,62.17,66.07,19.3472508085857,39.5861923361132,13.1953974453711,29.0298743798163,197.930961680566,60.6988282487069,0.156078860898138,0.843921139101862
"292925","BA","São Gabriel",54.04,15.6505376344086,6.34408602150538,57.4403250380904,103.21,1.46341463414634,38.0487804878049,11.1310202530271,6.13563555410762,618.993321387848,54.2976597708639,157.463213335505,76.0167236792094,124.884617472987,336.645490579356,249.769234945974,4.8780487804878,130.314383450073,86.8762556333822,72.7241754900364,5.27230276375088,133.89802899495,1379.36,108.97,128.109898463376,82.51,87,106.28,104.48,108.97,105.38,97.76,29.6,100.9,116.59,27.956176803929,472.389640006516,233.479937014715,5.42976597708639,179.182277243851,43.4381278166911,0.125227578564078,0.874772421435922
"292930","BA","São Gonçalo dos Campos",42.89,13.069116493306,6.56745881102422,51.978922266241,89.41,1.84049079754601,54.2944785276074,8.23856456911802,5.61031084154663,348.749052312358,58.1248420520596,141.521354561537,60.6520090978014,98.5595147839272,212.282031842305,35.3803386403841,3.06748466257669,280.515542077331,60.6520090978014,39.1771854940612,3.1918119787718,11.5238817285823,1227.43,73.61,91.0058124842052,52.79,62.46,70.38,63.34,70.38,71.26,67.45,4.11,77.13,55.43,21.4124978362472,146.57568865302,22.7445034116755,55.5976750063179,136.467020470053,161.73869092747,0.184497254632807,0.815502745367193
"292935","BA","São José da Vitória",57.7,18.0809031044214,6.90498588899341,64.8573200992556,101.55,0,32.8767123287671,13.7192257094531,11.8398797218568,1071.2272129299,18.7934598759632,451.043037023116,112.760759255779,206.728058635595,319.488817891374,375.869197519263,0,281.901898139447,112.760759255779,88.237876339034,6.18304829919188,0,1427.09,136.59,78.4626949821462,85.37,97.56,95.12,91.46,85.37,95.12,75.61,17.07,86.59,96.34,32.5581395348837,37.5869197519263,93.9672993798158,0,206.728058635595,0,0.385788262370541,0.614211737629459
"292937","BA","São José do Jacuípe",58.94,17.2769215667027,6.90095219397271,62.6796550622804,97.92,3.77358490566038,41.5094339622642,10.3972535556645,8.14124570868073,598.332515939186,19.6174595389897,245.218244237371,156.939676311918,127.513487003433,117.704757233938,235.409514467876,0,313.879352623835,88.2785679254536,42.4133045610593,4.84551250613046,0,875.31,69.53,66.1304561059343,89.84,107.03,113.28,103.91,101.56,112.5,99.22,4.69,119.53,111.72,8.28220858895705,245.218244237371,0,19.6174595389897,127.513487003433,147.130946542423,0.217654557042702,0.782345442957298
"292940","BA","São Miguel das Matas",66.4,17.00212889491,5.24482291465067,54.4693572496263,99.92,1.23456790123457,69.1358024691358,7.83820398683956,6.1931488291078,396.748596864718,106.44474550029,96.7679504548094,77.4143603638475,154.828720727695,183.859105864138,0,12.3456790123457,174.182310818657,87.0911554093284,258.491437971744,25.4886781497968,33.6752467582737,1014.14,123.89,81.5560286433133,68.14,91.15,90.27,88.5,92.04,89.38,84.07,33.63,100,103.54,23.1884057971014,58.0607702728856,0,0,145.151925682214,9.67679504548094,0.227600271923861,0.772399728076139
"292950","BA","São Sebastião do Passé",53.5,15.4719468724059,5.91093315103276,53.965867228028,89.93,2.13903743315508,38.7700534759358,9.26292847235982,6.78620962948286,492.867049732514,74.3015652863087,257.578759659203,76.7782841291856,116.405785615217,180.800475530018,116.405785615217,16.0427807486631,265.008916187834,79.2550029720626,70.4421666336438,4.9435308103824,15.7519318406974,1423.51,80.7,107.172577768972,79.39,87.06,90.35,92.54,93.42,90.57,90.57,20.18,101.32,91.01,24.4869402985075,61.9179710719239,12.3835942143848,4.95343768575391,180.800475530018,133.742817515356,0.134590108528296,0.865409891471704
"292960","BA","Sapeaçu",57.53,15.565328731281,5.62823581807048,52.4743230625584,93.13,2.39234449760766,71.7703349282297,11.6156282998944,9.33696437503474,905.907853053965,61.1348857889179,227.866392485967,133.385205357639,233.424109375868,233.424109375868,200.077808036459,4.78468899521531,283.443561384983,94.4811871283277,66.376987161674,5.29650419607625,40.904796309676,1237.64,83.33,103.857055521592,71.43,74.29,85.71,85.24,85.24,84.76,80.48,0.95,85.71,74.29,31.0722100656455,366.809314733507,55.5771688990163,11.1154337798033,116.712054687934,27.7885844495081,0.237902559867878,0.762097440132122
